dataset,cutoff_doy,cutoff_label,lead_days_to_Mar1,predictor_set,model_family,features,reg_rmse,reg_mse_skill_vs_climatology,reg_correlation,reg_correlation_pvalue,cls_roc_auc,cls_brier_score,cls_brier_skill_vs_climatology,top25_hit_rate,top25_false_alarm_rate,top25_precision,top25_tp,top25_fp,top25_tn,top25_fn,n_samples,n_events,usable_predictability
B2000WCN001002,19,01-19,41,DYN_PLUS_O3,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",5.9859447555406,0.44664473575889485,0.6684367029058148,6.636586810581699e-28,0.7989559460147696,0.15054279290313605,0.19447913524900784,0.5098039215686274,0.16233766233766234,0.5098039215686274,26,25,129,25,205,51,False
B2000WCN001002,19,01-19,41,DYN_PLUS_O3,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",6.116278296058487,0.4222857061609965,0.6513370075554504,3.940405776802053e-26,0.7780748663101604,0.1685574597621593,0.0980866760243514,0.43137254901960786,0.18831168831168832,0.43137254901960786,22,29,125,29,205,51,False
B2000WCN001002,20,01-20,40,DYN,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.347497488602787,0.377780363924871,0.6148008419352484,1.063259161410204e-22,0.763177998472116,0.157753703699777,0.15589516195783948,0.45098039215686275,0.18181818181818182,0.45098039215686275,23,28,126,28,205,51,False
B2000WCN001002,20,01-20,40,DYN,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.6495245591662036,0.317158628741959,0.5661793553747018,8.989196050945834e-19,0.7130124777183601,0.1937231816928719,-0.03656948187457876,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
B2000WCN001002,20,01-20,40,O3_MEMORY,linear,"O3_short_mean,O3_short_trend",5.968940718557265,0.4497840594533361,0.6706718223010096,3.813966358021789e-28,0.8162719633307869,0.1445702410778415,0.22643692624187817,0.5686274509803921,0.14285714285714285,0.5686274509803921,29,22,132,22,205,51,False
B2000WCN001002,20,01-20,40,O3_MEMORY,random_forest,"O3_short_mean,O3_short_trend",6.1655305218805765,0.41294398646516817,0.6476452617239348,9.195680713328892e-26,0.7748281130634072,0.1716719888617066,0.08142152636704614,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
B2000WCN001002,20,01-20,40,DYN_PLUS_O3,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",5.926163355535833,0.4576422199112353,0.6767681184177583,8.211940881609421e-29,0.803921568627451,0.14894187618464788,0.203045283083801,0.5490196078431373,0.14935064935064934,0.5490196078431373,28,23,131,23,205,51,False
B2000WCN001002,20,01-20,40,DYN_PLUS_O3,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",6.145513229871723,0.41674972402502797,0.6484759800509279,7.60694674361472e-26,0.7756557168321876,0.16830636597689255,0.0994302227936199,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
B2000WCN001002,21,01-21,39,DYN,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.304848763069894,0.3861136398743138,0.6215634314483427,2.6635643832859447e-23,0.7668703845174434,0.1572744486870651,0.1584595485009026,0.45098039215686275,0.18181818181818182,0.45098039215686275,23,28,126,28,205,51,False
B2000WCN001002,21,01-21,39,DYN,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.587094287871532,0.3299203990178471,0.576382343094571,1.5251119200552514e-19,0.7125031830914184,0.19379033367045484,-0.036928797109863076,0.39215686274509803,0.2012987012987013,0.39215686274509803,20,31,123,31,205,51,False
