dataset,year,cutoff_doy,cutoff_label,lead_days_to_Mar1,MA_O3_loss,MA_O3_min_DU,MA_O3_min_doy,low_o3_rank,Low25_min_label,predictor_set,model_family,pred_MA_O3_loss,pred_low25_probability,prob_rank_desc,prob_top25_alarm
BWCN,8,21,01-21,39,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,10.755967842796839,0.817671977751121,1.0,True
BWCN,8,22,01-22,38,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,10.155634940167362,0.6726379595861678,1.0,True
BWCN,8,22,01-22,38,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,9.412644266493315,0.7748475238906565,3.0,True
BWCN,8,22,01-22,38,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,8.294725773929429,0.6646168679687872,2.0,True
BWCN,8,22,01-22,38,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,10.898516361188577,0.8259425153213443,2.0,True
BWCN,8,22,01-22,38,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,10.169688285459557,0.7068126640014852,2.0,True
BWCN,8,22,01-22,38,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,10.916631136556258,0.8152462082318354,2.0,True
BWCN,8,23,01-23,37,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,10.331645532139751,0.6818775702845403,1.0,True
BWCN,8,23,01-23,37,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,10.318801846703277,0.7824970446356257,2.0,True
BWCN,8,23,01-23,37,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,8.559172150694854,0.6794454521192487,2.0,True
BWCN,8,23,01-23,37,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,10.77017895085282,0.8484419954894677,1.0,True
BWCN,8,23,01-23,37,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,10.494578616453625,0.770330916256617,2.0,True
BWCN,8,23,01-23,37,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,11.827098669666286,0.8438673042425747,1.0,True
BWCN,8,24,01-24,36,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,10.27625631318191,0.681255159732795,1.0,True
BWCN,8,24,01-24,36,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,11.443377519485525,0.807981360945283,1.0,True
BWCN,8,24,01-24,36,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,8.811583798212347,0.6917785996310744,2.0,True
BWCN,8,24,01-24,36,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,9.879924851370776,0.8789800021065269,1.0,True
BWCN,8,24,01-24,36,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,10.909131452123237,0.7845523530955408,2.0,True
BWCN,8,24,01-24,36,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,11.381142437377175,0.855871850836132,1.0,True
BWCN,8,25,01-25,35,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,10.267708756031627,0.6813999569619267,1.0,True
BWCN,8,25,01-25,35,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,11.314638136135995,0.8081076534567881,4.0,True
BWCN,8,25,01-25,35,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,9.092572607436162,0.7041327704943499,2.0,True
BWCN,8,25,01-25,35,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,10.138706878349426,0.8681201794252966,1.0,True
BWCN,8,25,01-25,35,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,11.306221798149092,0.7997315867630685,2.0,True
BWCN,8,25,01-25,35,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,10.958145256300906,0.8593367108163737,2.0,True
BWCN,8,26,01-26,34,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,10.253173787667956,0.6813615349361347,1.0,True
BWCN,8,26,01-26,34,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,10.372030388261011,0.7958853193727393,4.0,True
BWCN,8,26,01-26,34,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,9.365648449606248,0.7148875173746286,2.0,True
BWCN,8,26,01-26,34,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,10.215427551824039,0.8618899126231464,1.0,True
BWCN,8,26,01-26,34,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,11.840907235535777,0.8134913390189233,1.0,True
BWCN,8,26,01-26,34,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,10.684882960673276,0.8619443079887209,1.0,True
BWCN,8,27,01-27,33,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,10.306101073405685,0.6851003898313586,1.0,True
BWCN,8,27,01-27,33,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,9.769734034879168,0.7863981062187992,3.0,True
BWCN,8,27,01-27,33,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,9.579492177382813,0.7221974163695004,2.0,True
BWCN,8,27,01-27,33,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,10.436303508157094,0.8594957047586217,1.0,True
BWCN,8,27,01-27,33,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,12.18497879765282,0.8236105879904958,1.0,True
BWCN,8,27,01-27,33,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,11.650776691194613,0.8594088693407279,2.0,True
BWCN,8,28,01-28,32,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,10.299940717304112,0.6868666588799462,1.0,True
BWCN,8,28,01-28,32,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,10.218461475663023,0.8055416744556572,4.0,True
BWCN,8,28,01-28,32,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,9.815734156916353,0.7288026992039919,2.0,True
BWCN,8,28,01-28,32,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,10.467989463411467,0.8683884990463614,1.0,True
BWCN,8,28,01-28,32,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,12.433290908643096,0.8302603259926215,1.0,True
BWCN,8,28,01-28,32,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,12.23353755208921,0.8444707302584837,1.0,True
BWCN,8,29,01-29,31,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,10.145667481536773,0.6818349422534427,1.0,True
BWCN,8,29,01-29,31,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,10.320417839822218,0.8264111930200726,5.0,True
BWCN,8,29,01-29,31,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,9.975577144080388,0.7342457708330644,2.0,True
BWCN,8,29,01-29,31,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,10.309842655778956,0.7995640381129686,3.0,True
BWCN,8,29,01-29,31,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,12.57038029411469,0.7715172300305185,1.0,True
BWCN,8,29,01-29,31,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,11.857474408080835,0.835878698615869,2.0,True
BWCN,8,30,01-30,30,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,10.098511432632307,0.6805843219665642,1.0,True
BWCN,8,30,01-30,30,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,11.682447737144779,0.8143996127738123,3.0,True
BWCN,8,30,01-30,30,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,10.034099111774443,0.7359959925838492,2.0,True
BWCN,8,30,01-30,30,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,10.18298294243456,0.8084383043975227,2.0,True
BWCN,8,30,01-30,30,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,12.540658014242803,0.7711637349397037,1.0,True
BWCN,8,30,01-30,30,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,11.907082713915706,0.8468561827691657,2.0,True
BWCN,8,31,01-31,29,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,10.12507205815531,0.681954230033583,1.0,True
BWCN,8,31,01-31,29,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,11.95929317184876,0.8111969459333668,1.0,True
BWCN,8,31,01-31,29,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,10.037797325332336,0.7363814585571989,2.0,True
BWCN,8,31,01-31,29,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,11.319353104625149,0.8628400307228425,1.0,True
BWCN,8,31,01-31,29,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,12.426774044548734,0.7701292895802861,1.0,True
BWCN,8,31,01-31,29,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,12.806033547937606,0.8544456745640188,1.0,True
BWCN,8,32,02-01,28,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,10.192089666268119,0.6849431257127548,1.0,True
BWCN,8,32,02-01,28,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,12.489733987885577,0.8320796780486537,3.0,True
BWCN,8,32,02-01,28,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,10.042236967723435,0.7534517478604638,2.0,True
BWCN,8,32,02-01,28,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,11.423751003333216,0.8541868222995357,1.0,True
BWCN,8,32,02-01,28,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,12.1932372984251,0.7704134626637039,1.0,True
BWCN,8,32,02-01,28,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,13.270241148375474,0.872609091836596,1.0,True
BWCN,8,33,02-02,27,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,10.29975294201513,0.6904425927660135,1.0,True
