dataset,year,cutoff_doy,cutoff_label,lead_days_to_Mar1,short_window_start_abs,short_window_end_abs,long_window_start_abs,long_window_end_abs,O3_short_mean,O3_short_trend,NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,MA_O3_loss,MA_O3_min_DU,MA_O3_min_doy,low_o3_rank,Low25_min_label
BWCN,18,18,01-18,42,6196,6223,6134,6223,0.40509506775807985,0.20292668474461953,1.7778951639823308,-0.058344711271023614,-0.002453462523191237,-6.254686798508984,103.8860580444336,120,17.0,0
BWCN,19,18,01-18,42,6561,6588,6499,6588,-9.396756749781682,-0.2521580068798473,2.5649452417276053,-0.023466855012762092,-0.001712742854391278,13.566131392769194,85.98907928466797,89,3.0,1
BWCN,20,18,01-18,42,6926,6953,6864,6953,6.086435857553001,0.07282701119417592,-0.8689628180377644,-0.08813637979517053,-0.003460703998558657,-12.835798894076031,108.7208969116211,120,22.0,0
BWCN,21,18,01-18,42,7291,7318,7229,7318,2.754702208435397,-0.026137286596852518,1.831377210455362,0.02987794000898543,-0.002388567231018452,-0.4871370648624031,100.07074127197265,113,11.0,0
BWCN,22,18,01-18,42,7656,7683,7594,7683,1.199401141628057,-0.11320632018148899,0.046959035173235124,0.0946161460482776,-0.0022976446430768116,6.733812502088159,91.68306732177734,120,6.0,0
BWCN,23,18,01-18,42,8021,8048,7959,8048,4.4078285708272755,-0.1797268048093154,0.549357508698837,0.10119040358387683,-0.0024242138293468487,0.27405210509949457,100.33548431396484,114,12.0,0
BWCN,2,19,01-19,41,357,384,295,384,-1.5015649150535104,-0.09587278047675458,2.2867884430628354,0.00036833324327412734,-0.0018918750290866763,1.7373017619018132,97.39088745117188,98,9.0,0
BWCN,3,19,01-19,41,722,749,660,749,-2.604871930608756,0.13074779896770042,2.046209576557367,0.0374103880051249,-0.0020591422775980074,11.077120497493517,88.2921371459961,120,4.0,1
BWCN,4,19,01-19,41,1087,1114,1025,1114,-4.569626689171115,-0.20499164370415204,-0.3289618091530525,0.03125437157050307,-0.0025701075633481523,-1.406564004779796,99.58116302490234,118,10.0,0
BWCN,5,19,01-19,41,1452,1479,1390,1479,-0.4641984839534814,0.08435090977961572,-0.6762725416992134,-0.09380953620592551,-0.003224622351848981,-7.391868064918436,102.55701293945313,120,15.0,0
BWCN,6,19,01-19,41,1817,1844,1755,1844,8.29790723983628,0.41270699273972267,-1.149829662502595,-0.16182662823996602,-0.003328337539556068,-12.775030316375275,109.4763900756836,120,23.0,0
BWCN,7,19,01-19,41,2182,2209,2120,2209,7.041580455429888,-0.25314512727817845,-1.4557270081925608,0.09283650352106851,-0.002852600928660732,-10.188913212923685,102.39976501464844,120,14.0,0
BWCN,8,19,01-19,41,2547,2574,2485,2574,-8.06605455215591,-0.02194348728324019,3.024401381496442,0.062273420780038044,-0.0020328140520736015,26.02682973001144,73.43604278564453,106,1.0,1
BWCN,9,19,01-19,41,2912,2939,2850,2939,1.8573949368926388,0.3684411980639926,-0.6499485915398698,-0.09223763854281972,-0.003260615050913553,-8.84545393037694,106.20907440185547,120,19.0,0
BWCN,10,19,01-19,41,3277,3304,3215,3304,-5.570805103652143,0.24762981542160278,1.3298709072495818,0.012236642473908795,-0.002603047504679765,-10.245587607374892,105.58467712402344,120,18.0,0
BWCN,11,19,01-19,41,3642,3669,3580,3669,1.001033275254107,0.0024503182764577347,-0.7904292532433201,-0.006179704786044224,-0.0025905233952180614,-6.232660261223507,107.15471649169922,120,20.0,0
BWCN,12,19,01-19,41,4007,4034,3945,4034,7.671145558143339,0.23389339582738672,-0.940893057639857,-0.10681088486190474,-0.0026866910119931406,-7.000462765465949,108.03871307373046,120,21.0,0
BWCN,13,19,01-19,41,4372,4399,4310,4399,-4.318655467247287,0.08790178450327062,2.2542828287013403,-0.0068686128061747264,-0.0020816432818516624,14.987227719253246,83.27454986572266,109,2.0,1
BWCN,14,19,01-19,41,4737,4764,4675,4764,-2.088504045564112,-0.1253475068107484,0.3499699790378328,-0.034814419298726335,-0.002444334595335363,8.500402582974749,89.38094482421874,95,5.0,1
BWCN,15,19,01-19,41,5102,5129,5040,5129,-4.565237008036211,-0.09239007253495492,0.6687934637991241,0.11029014277014032,-0.002336441357879748,3.308877464506513,96.6460189819336,88,8.0,0
BWCN,16,19,01-19,41,5467,5494,5405,5494,1.004220781793587,-0.3258220451283992,1.4779246091832543,0.03191727733065199,-0.002223284204779481,-5.014435888985098,100.64898681640625,120,13.0,0
BWCN,17,19,01-19,41,5832,5859,5770,5859,-4.709436542861125,0.004691255608084954,0.536706171912934,-0.0032435118786621445,-0.0024443663071227256,5.278286043848214,93.28086853027344,84,7.0,0
BWCN,18,19,01-19,41,6197,6224,6135,6224,0.5326403854138445,0.20022142469785084,1.7344163649511966,-0.06055399289655324,-0.002438327994710211,-6.254686798508984,103.8860580444336,120,17.0,0
BWCN,19,19,01-19,41,6562,6589,6500,6589,-9.563403283060625,-0.24406658291620997,2.5846514910325884,-0.026530367451051248,-0.0017446607879558012,13.566131392769194,85.98907928466797,89,3.0,1
BWCN,20,19,01-19,41,6927,6954,6865,6954,6.0603469676194806,0.053441856856155344,-0.946249088413248,-0.10382246029108032,-0.0034697754089332827,-12.835798894076031,108.7208969116211,120,22.0,0
BWCN,21,19,01-19,41,7292,7319,7230,7319,2.8272589919812288,0.012751488354144525,1.8497623581991438,0.016093398420645652,-0.0024604161130368724,-0.4871370648624031,100.07074127197265,113,11.0,0
BWCN,22,19,01-19,41,7657,7684,7595,7684,1.136930557445792,-0.10625866021885547,0.1255313011483956,0.10237636803863506,-0.0023086438321829298,6.733812502088159,91.68306732177734,120,6.0,0
BWCN,23,19,01-19,41,8022,8049,7960,8049,4.3030519585514,-0.17995775992190452,0.653825881883809,0.10215190463112707,-0.0024220311870979485,0.27405210509949457,100.33548431396484,114,12.0,0
BWCN,2,20,01-20,40,358,385,296,385,-1.5526542172586615,-0.11557259337004218,2.2968251991262862,-0.0016417852971188432,-0.0018944230095392207,1.7373017619018132,97.39088745117188,98,9.0,0
BWCN,3,20,01-20,40,723,750,661,750,-2.617549247689047,0.12786810462827178,2.1036136799877236,0.034337780866191714,-0.0020151363385411,11.077120497493517,88.2921371459961,120,4.0,1
BWCN,4,20,01-20,40,1088,1115,1026,1115,-4.679634971565998,-0.20671086120032556,-0.34017205043778015,0.049726001318178996,-0.002586468478977842,-1.406564004779796,99.58116302490234,118,10.0,0
BWCN,5,20,01-20,40,1453,1480,1391,1480,-0.539583375060697,0.08921025735794316,-0.7344112558261315,-0.11208530554739204,-0.0032858012988374154,-7.391868064918436,102.55701293945313,120,15.0,0
BWCN,6,20,01-20,40,1818,1845,1756,1845,8.511699889099459,0.38627771269771427,-1.2743991313661769,-0.1624455223313872,-0.003327890266739053,-12.775030316375275,109.4763900756836,120,23.0,0
BWCN,7,20,01-20,40,2183,2210,2121,2210,6.892491798453532,-0.265113617430388,-1.4011642876646284,0.104804959460452,-0.0028530859471127346,-10.188913212923685,102.39976501464844,120,14.0,0
BWCN,8,20,01-20,40,2548,2575,2486,2575,-8.193641341020518,-0.03346266873626645,3.075262166267683,0.05173173933950316,-0.0020669677336065543,26.02682973001144,73.43604278564453,106,1.0,1
BWCN,9,20,01-20,40,2913,2940,2851,2940,2.1805378996149436,0.41330761563143725,-0.6681887663171696,-0.1007283514991433,-0.003263536565171165,-8.84545393037694,106.20907440185547,120,19.0,0
BWCN,10,20,01-20,40,3278,3305,3216,3305,-5.168369898062232,0.318528667127871,1.3168553409302877,-0.008805172696475731,-0.0026899954222760155,-10.245587607374892,105.58467712402344,120,18.0,0
BWCN,11,20,01-20,40,3643,3670,3581,3670,1.0671291842305968,0.006317862939743433,-0.8024659099999409,0.004824962831747088,-0.0026114040047622447,-6.232660261223507,107.15471649169922,120,20.0,0
BWCN,12,20,01-20,40,4008,4035,3946,4035,7.821701698355876,0.19107227978707703,-0.9964959742403325,-0.09825328092515265,-0.0026857606176150226,-7.000462765465949,108.03871307373046,120,21.0,0
BWCN,13,20,01-20,40,4373,4400,4311,4400,-4.331136654392449,0.05377598169792166,2.2733994595654843,-0.007309913846752791,-0.0020836222194999276,14.987227719253246,83.27454986572266,109,2.0,1
BWCN,14,20,01-20,40,4738,4765,4676,4765,-2.266398135541305,-0.1135238115475744,0.3381000107304089,-0.02629900878252029,-0.0024650070492903747,8.500402582974749,89.38094482421874,95,5.0,1
BWCN,15,20,01-20,40,5103,5130,5041,5130,-4.5689577429108645,-0.06582053867011474,0.7368237926418141,0.12040040265273719,-0.002321755902135352,3.308877464506513,96.6460189819336,88,8.0,0
BWCN,16,20,01-20,40,5468,5495,5406,5495,0.7584947804568795,-0.33655707181577915,1.495323564273047,0.027126785023140556,-0.0022491696406637426,-5.014435888985098,100.64898681640625,120,13.0,0
BWCN,17,20,01-20,40,5833,5860,5771,5860,-4.660933636203971,-0.03667372555047594,0.4971257915263492,0.00490884992345319,-0.0024737688718852696,5.278286043848214,93.28086853027344,84,7.0,0
BWCN,18,20,01-20,40,6198,6225,6136,6225,0.6726427296756299,0.19749391736132138,1.681309603410966,-0.05858066181547881,-0.002457867260131117,-6.254686798508984,103.8860580444336,120,17.0,0
BWCN,19,20,01-20,40,6563,6590,6501,6590,-9.751800814984668,-0.22974614678672817,2.5957884449794113,-0.03128055128219127,-0.001781664149480499,13.566131392769194,85.98907928466797,89,3.0,1
BWCN,20,20,01-20,40,6928,6955,6866,6955,6.069913749747477,0.040751724532855284,-1.0235620792596156,-0.11865255986291097,-0.003474125336519671,-12.835798894076031,108.7208969116211,120,22.0,0
BWCN,21,20,01-20,40,7293,7320,7231,7320,2.9638394438043982,0.05881562606975192,1.8474291525536668,0.004850791414226149,-0.0025133015924730206,-0.4871370648624031,100.07074127197265,113,11.0,0
BWCN,22,20,01-20,40,7658,7685,7596,7685,1.0852655084319076,-0.10068120120456434,0.18947326189896913,0.10724810483475643,-0.002335414716585903,6.733812502088159,91.68306732177734,120,6.0,0
BWCN,23,20,01-20,40,8023,8050,7961,8050,4.17460223066963,-0.17456427204329616,0.7493226089180702,0.10258762835382207,-0.0024135582697097898,0.27405210509949457,100.33548431396484,114,12.0,0
BWCN,2,21,01-21,39,359,386,297,386,-1.6111362416469446,-0.13165424703762726,2.3079949212316913,-0.0027178984352548966,-0.0019014091410743572,1.7373017619018132,97.39088745117188,98,9.0,0
BWCN,3,21,01-21,39,724,751,662,751,-2.6777055427072125,0.1165375288308558,2.1601350612393437,0.031260528732316606,-0.0019863049489523294,11.077120497493517,88.2921371459961,120,4.0,1
BWCN,4,21,01-21,39,1089,1116,1027,1116,-4.796396850864996,-0.2043669073693325,-0.33878900225384834,0.06333989847826788,-0.002602246006605825,-1.406564004779796,99.58116302490234,118,10.0,0
BWCN,5,21,01-21,39,1454,1481,1392,1481,-0.5857656710554257,0.09266420373977417,-0.810042750540719,-0.12807179720960746,-0.0033267830099536957,-7.391868064918436,102.55701293945313,120,15.0,0
BWCN,6,21,01-21,39,1819,1846,1757,1846,8.669364660801437,0.3421919930764815,-1.3981791015760143,-0.15983706062709022,-0.0033283672981957854,-12.775030316375275,109.4763900756836,120,23.0,0
BWCN,7,21,01-21,39,2184,2211,2122,2211,6.745116864606544,-0.27205619101904654,-1.340386113567797,0.1137994286878084,-0.0028514777565758456,-10.188913212923685,102.39976501464844,120,14.0,0
BWCN,8,21,01-21,39,2549,2576,2487,2576,-8.33016487803436,-0.04521218348208987,3.110587072546913,0.04133037962320408,-0.002057537956274113,26.02682973001144,73.43604278564453,106,1.0,1
